"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 20, 2015","2.029","1.836","2.052","1.787","444.63K","14.83%"
"Dec 13, 2015","1.767","1.913","1.923","1.684","834.50K","-11.21%"
"Dec 06, 2015","1.990","2.159","2.162","1.959","869.33K","-8.97%"
"Nov 29, 2015","2.186","2.175","2.259","2.131","595.44K","-1.18%"
"Nov 22, 2015","2.212","2.111","2.305","2.051","220.00K","3.12%"
"Nov 15, 2015","2.145","2.449","2.460","2.123","670.32K","-9.15%"
"Nov 08, 2015","2.361","2.373","2.391","2.234","783.19K","-0.42%"
"Nov 01, 2015","2.371","2.268","2.398","2.231","732.64K","2.15%"
"Oct 25, 2015","2.321","2.221","2.372","1.948","563.18K","1.53%"
"Oct 18, 2015","2.286","2.464","2.499","2.275","646.47K","-5.93%"
"Oct 11, 2015","2.430","2.520","2.578","2.410","730.11K","-2.88%"
"Oct 04, 2015","2.502","2.451","2.531","2.429","717.82K","2.08%"
"Sep 27, 2015","2.451","2.608","2.673","2.403","536.65K","-4.41%"
"Sep 20, 2015","2.564","2.585","2.607","2.521","433.20K","-1.57%"
"Sep 13, 2015","2.605","2.702","2.794","2.602","568.74K","-3.27%"
"Sep 06, 2015","2.693","2.651","2.733","2.641","560.76K","1.43%"
"Aug 30, 2015","2.655","2.681","2.735","2.632","525.04K","-2.21%"
"Aug 23, 2015","2.715","2.654","2.725","2.624","276.18K","1.46%"
"Aug 16, 2015","2.676","2.774","2.788","2.670","569.17K","-4.46%"
"Aug 09, 2015","2.801","2.835","2.934","2.781","817.55K","0.11%"
"Aug 02, 2015","2.798","2.725","2.863","2.707","786.59K","3.02%"
"Jul 26, 2015","2.716","2.745","2.895","2.706","370.90K","-2.16%"
"Jul 19, 2015","2.776","2.843","2.951","2.773","587.84K","-3.28%"
"Jul 12, 2015","2.870","2.816","2.934","2.787","720.63K","3.61%"
"Jul 05, 2015","2.770","2.836","2.857","2.644","645.73K","-1.84%"
"Jun 28, 2015","2.822","2.755","2.885","2.735","519.77K","1.77%"
"Jun 21, 2015","2.773","2.749","2.854","2.711","323.49K","-1.53%"
"Jun 14, 2015","2.816","2.769","2.955","2.739","759.14K","2.40%"
"Jun 07, 2015","2.750","2.640","2.922","2.624","976.55K","6.18%"
"May 31, 2015","2.590","2.615","2.724","2.556","697.22K","-1.97%"
"May 24, 2015","2.642","2.878","2.887","2.633","365.03K","-8.49%"
"May 17, 2015","2.887","2.983","3.105","2.881","615.66K","-4.28%"
"May 10, 2015","3.016","2.914","3.036","2.785","702.23K","4.72%"
"May 03, 2015","2.880","2.738","2.888","2.711","632.32K","3.75%"
"Apr 26, 2015","2.776","2.472","2.800","2.443","536.09K","9.68%"
"Apr 19, 2015","2.531","2.592","2.622","2.518","478.68K","-3.91%"
"Apr 12, 2015","2.634","2.487","2.693","2.475","706.21K","4.90%"
"Apr 05, 2015","2.511","2.681","2.709","2.504","599.72K","-7.45%"
"Mar 29, 2015","2.713","2.624","2.719","2.583","392.07K","4.75%"
"Mar 22, 2015","2.590","2.741","2.810","2.578","316.76K","-7.04%"
"Mar 15, 2015","2.786","2.705","2.935","2.680","682.05K","2.16%"
"Mar 08, 2015","2.727","2.775","2.864","2.662","648.43K","-3.95%"
